"text","emotion","polarity"
"913","lowkey tired of praying for himdamn drose hurt again prayers up","disgust","negative"
"914","hope u make a speedy recovery","unknown","positive"
"915","really hate you got to miss the rest of this seasonhoping next time your in action it will be close to thatformstaystrongrose","anger","negative"
"916","i hope you get welcomeyou are one of my favourite nba player","sadness","neutral"
"917","its so sad to see all these franchise players get hurt and miss the rest of the seasonnba getwellsoon","sadness","negative"
"918","chi town til i die","joy","positive"
"919","prayers toman dude been through so much hate to see his injuries keep coming back","anger","negative"
"920","our hearts are with youget well soon","unknown","positive"
"921","praying for you and your mind if you stay strong and truly believe everything will be ok we will as well you got","unknown","positive"
"922","will bounce back watchgreatness","unknown","positive"
"923","bless up","unknown","positive"
"924","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"925","videooffers his support toyoure going to come back even strongerhttp","unknown","positive"
"926","all this negative press derrick roseis receiving about his injury he will just use as fuel i hate negativity prayfo","anger","negative"
"927","very tough news for bullswishing speedy recovery to","unknown","negative"
"928","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"929","our hearts are with youget well soon","unknown","positive"
"930","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"931","stanbul turkey do not worry rose","joy","negative"
"932","dont thinkinjury is as serious as the previous one buti hope his career doesnt end like penny g hill etc getwellsoondrose","joy","neutral"
"933","hope you get better quick man","sadness","positive"
"934","do not worry rose","joy","negative"
"935","still shocked about your injury come back","unknown","neutral"
"936","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"937","respect forfast recovery man","joy","positive"
"938","i thinkthinks too much on the court as someone who dealt with knee issues playing halfway does more damage than full throttle will","unknown","neutral"
"939","getwell soon godbless bepositive","unknown","positive"
"940","why knee why","unknown","positive"
"941","all this negative press derrick roseis receiving about his injury he will just use as fuel i hate negativity prayfordrose","anger","negative"
"942","no i dont think so even though rose is not playing as an mvp the bulls still needsleadership","unknown","positive"
"943","huft bangetlah inianother major injury toour writers look at the outlook for the","unknown","negative"
"944","in the gym working out listening to born sinneryou made me a believer i appreciate yo music ill be supporting june","joy","neutral"
"945","smh all bad","sadness","negative"
"946","wishinga speedy recovery from one ball player who loves the gameanotheri understand and would stop playing only when im dead","unknown","neutral"
"947","injuries forthat sucks","unknown","positive"
"948","im latebut drose hurt againjust retire mansad","unknown","negative"
"949","good luck champ comeback","joy","positive"
"950","have a quick recovery man be strong","unknown","positive"
"951","derrick rose maybe third time a charmthereturn prayfordrose will he return yesretweetnofav http","unknown","positive"
"952","yous one fragil bitchchill","unknown","negative"
"953","ay famyou see this yet","unknown","positive"
"954","torn meniscus a minuscule task chiefintercessor anwapraysdrose godis","unknown","positive"
"955","smdh","unknown","positive"
"956","yous one fragil bitch","unknown","negative"
"957","in the gym working out listening to born sinneryou made me a believer i appreciate yo music ill be supporting june","joy","neutral"
"958","is not yet finished in his basketball career will come back strong prayers for you","unknown","positive"
"959","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"960","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"961","you know what my heart goes out to youi know how you feeleven though i only tore it one time praying for you","joy","positive"
"962","i dont like that fact that our kids are not in school and thats the only thing we have to save these kids","joy","positive"
"963","chi town til i die","joy","positive"
"964","rt if you support","unknown","positive"
"965","if nobody else believes i believe","unknown","positive"
"966","chi town til i die","joy","positive"
"967","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"968","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"969","get wellprayforrose","sadness","negative"
"970","prayers out to d rose and patty kane for speedy recoveries from surgery","unknown","positive"
"971","ay famyou see this yet","unknown","positive"
"972","time to hang your shoessad but true rose is done and it hurts","fear","positive"
"973","ay famyou see this yet","unknown","positive"
"974","wearing myjersey tomorrow cuz bae stillin my heart","joy","positive"
"975","honestly i dont thinkplays for the money or the fame he just plays for the love of the sport and to represent chicago","joy","positive"
"976","ay famyou see this yet","unknown","positive"
"977","praying for drose all my life ive been a bulls fan this has broke my heart in jesus name i pray for your healing","joy","neutral"
"978","teammates fellow players sad over derrick roses injury","sadness","negative"
"979","ay famyou see this yet","unknown","positive"
"980","shouts out tothe fame and money hasnt changed the fact hes a good person","joy","neutral"
"981","videooffers his support toyoure going to come back even strongerhttp","unknown","positive"
"982","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"983","hopea speedy recoverynever good seeing someone go down from an injury","joy","neutral"
"984","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"985","ini purchased a pair of greykicks i got fired the next week","unknown","positive"
"986","anything is possible blessed","unknown","positive"
"987","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"988","get well soon and wish you a speedy recovery","sadness","positive"
"989","in the gym working out listening to born sinneryou made me a believer i appreciate yo music ill be supporting june","joy","neutral"
"990","our prayers go out towho has to undergo surgery for a torn meniscuslove this","unknown","positive"
"991","its a curse switch ur shoes man","unknown","negative"
"992","our hearts are with youget well soon","unknown","positive"
"993","get well soon prayfordrose","sadness","negative"
"994","cdr im happy to see you back you deserve it man","joy","positive"
"995","pray for a speedy recovery","unknown","positive"
"996","like im sureis upset enough everyone should just fuck off","joy","positive"
"997","never die","unknown","positive"
"998","i loveoverall game but its slightly obvious hes a tad bit injury pronederrickrose prayersfordrose","unknown","negative"
"999","ay famyou see this yet","unknown","positive"
"1000","wishing you a speedy recovery","unknown","positive"
